
N,E
9991,31
message,signature,duration
1266,7282,53765000
7003,2471,53028000
4703,1422,55564000
3660,5896,52065000
1931,5533,55149000
1435,4234,57379000
392,8139,52616000
96,9796,51397000
4628,3925,52989000
3871,6309,52390000
602,3817,51641000
3008,4366,53091000
2123,4527,51543000
7940,3259,52976000
1440,7161,51315000
5556,1667,53965000
5056,2126,50940000
77,8211,53887000
3032,1116,50029000
2235,282,49572000
2615,3404,49335000
639,7456,52128000
2397,4798,53073000
9095,8061,50097000
6012,419,53046000
5065,4779,53392000
5559,734,52591000
4891,448,53492000
4978,6497,51529000
9385,2468,53129000
2126,3892,51544000
5782,8216,50516000
711,2533,59426000
9079,7552,53837000
4952,6409,52121000
3534,4238,54455000
6862,3928,61526000
9677,9225,55415000
9197,3368,53935000
8415,4505,58169000
5950,1020,52224000
3132,9170,52818000
5972,9633,53318000
2012,2085,53988000
681,2879,54184000
676,635,55293000
8583,7630,55148000
6401,6110,50031000
2290,4336,51663000
6533,796,53243000
6183,9360,52427000
51,5995,51629000
8792,4039,51272000
662,8521,56118000
5869,7882,58051000
2207,2856,54878000
4189,2258,52216000
1239,2253,53433000
3197,7963,54033000
6518,4896,50222000
5703,7629,53318000
6255,5399,52773000
8929,3693,49886000
1263,5013,51366000
1048,3543,56336000
9416,8832,52474000
3406,9053,50720000
359,2096,51018000
1371,8770,52228000
1186,6865,50618000
8992,7237,52354000
2320,497,51519000
9245,7039,51610000
9763,2502,52280000
7138,6001,50195000
7073,6996,53905000
1420,7240,54684000
1196,3600,54771000
1499,9121,56569000
4989,1425,49883000
2444,5090,59007000
4161,8462,59116000
3300,3946,61870000
3025,7011,60370000
9821,6747,54061000
9289,883,54287000
1397,4961,57633000
6639,7154,59192000
6007,771,54037000
4290,463,55977000
6770,7047,54959000
9796,1454,56685000
5880,1302,55193000
4280,7267,52476000
3597,1831,57505000
8051,2716,54725000
3293,3000,54400000
8877,2943,58101000
8444,7573,50563000
8560,733,61779000
4059,2990,50417000
7592,6520,51293000
4432,9257,55332000
2316,6216,51857000
1230,8053,58300000
2501,3660,60316000
7921,3151,56601000
6689,6508,56039000
3377,4047,53914000
9550,4271,54097000
6773,2507,53741000
2218,7235,59909000
7932,5357,51716000
7938,5448,51660000
6459,2606,54303000
7928,6090,58073000
3944,1308,52344000
6858,5588,59292000
3149,2397,53075000
4787,6713,55083000
8563,697,55398000
2246,5255,56775000
7687,9366,58423000
9407,2068,48746000
9575,2955,60601000
4716,1884,53746000
1814,4424,51343000
6456,7881,58521000
4579,1489,56113000
6648,6236,53876000
813,7816,58224000
3490,5463,57785000
1301,6997,61800000
3994,9618,62701000
5774,9972,58391000
9844,646,56931000
6948,6948,53082000
969,6595,53200000
9202,8981,57445000
5484,6042,55075000
4312,4659,51899000
3188,1706,51776000
5923,5232,53751000
3436,7335,55373000
3069,1711,54435000
8675,5111,60900000
2245,9642,57690000
5260,8126,50932000
3863,82,53852000
4729,140,53307000
4213,164,54699000
2865,6430,54854000
497,5521,59141000
8448,7465,53557000
1018,7832,57121000
9958,9941,55555000
7775,1375,65659000
1477,9290,56453000
2279,6086,57526000
6895,1152,55622000
8850,8526,61634000
4511,2741,51528000
1448,6882,52781000
5008,2486,55181000
7904,549,52743000
2944,9914,59959000
554,2664,54967000
534,6136,55288000
1825,3756,57366000
1332,2792,54885000
8516,3555,59864000
5026,8509,52571000
7932,5357,56538000
8593,5225,58914000
4105,8825,57888000
7727,3345,55705000
9438,5761,58842000
5412,8502,59663000
6192,7000,53788000
9803,7560,61981000
8253,4644,54634000
3632,3468,58455000
1409,8808,60474000
9097,5406,52545000
5556,1667,49790000
4162,8346,49085000
1261,2231,54184000
2852,2148,52366000
196,1812,58321000
991,220,55667000
1764,318,61056000
818,843,62253000
6592,5150,57391000
6890,7610,60244000
3217,2894,55508000
6643,9085,62617000
518,6064,53039000
1338,4428,56372000
3231,831,58005000
1371,8770,57465000
6252,488,54203000
1862,2083,57750000
5281,8609,59203000
1804,3672,56886000
7056,6159,55747000
9184,9411,56228000
2587,1541,59068000
7921,3151,51376000
3979,9572,55027000
7314,8550,60917000
2368,6900,56689000
2084,937,53513000
7569,6834,53133000
6052,9923,52922000
5402,6638,52812000
4236,2996,51050000
3107,141,59986000
8707,4763,52867000
2560,7692,53803000
5319,7291,55213000
1740,297,57128000
7720,7165,55226000
5931,8575,59347000
1108,8790,61500000
