message,signature,duration
6423,3421,82238000
7182,5811,82642000
6441,8162,72405000
141,6599,59648000
6284,4533,92909000
1495,9131,74787000
9062,157,89624000
4854,9691,74519000
435,64,67991000
1106,3021,82184000
2102,3093,54712000
504,4314,71009000
3915,3915,59956000
8667,1475,78087000
3433,5364,81866000
1619,9936,93199000
981,7501,92659000
1435,4234,79191000
2223,3116,66093000
8473,893,59410000
6540,5686,77323000
7917,1981,89656000
1523,2193,75892000
8345,8289,60724000
1290,7604,55440000
4403,4297,79796000
9787,2933,83413000
2214,9394,93839000
6,8530,99675000
2574,2162,68683000
623,5298,81690000
7156,3417,90227000
244,7114,65210000
1682,729,54033000
7189,1196,61983000
403,3024,76079000
5282,5823,70615000
2849,7602,73274000
1610,1538,77772000
7571,3790,97956000
5888,5394,84426000
2364,6341,85798000
2505,7260,85953000
7274,4752,75959000
1280,7903,50501000
989,7709,77567000
4209,1775,79845000
3893,7994,62965000
1981,7529,90861000
402,6344,52999000
6769,2108,73010000
8674,1515,66448000
9390,8587,60387000
1829,2095,54084000
706,5838,73548000
9930,5565,98741000
9851,4098,99095000
56,1395,87672000
5937,7600,82403000
1144,5883,71052000
241,7436,71071000
5746,6004,70600000
882,4652,87074000
198,6878,81471000
3596,2818,89834000
3663,1562,69606000
7741,5968,75398000
1767,7204,77792000
369,8781,82505000
8706,9355,87151000
3844,1904,90405000
2588,1554,77350000
6766,4311,86279000
6569,4056,73322000
3766,2798,67525000
2336,7263,92661000
905,1369,77679000
8953,9350,80546000
5491,2590,85367000
8062,6240,65210000
9041,8279,63972000
2575,4944,76025000
9547,6268,69062000
6852,8016,74022000
5003,5178,73185000
2646,5547,71999000
7315,9422,75391000
4626,1788,76052000
864,1653,81651000
6052,9923,76496000
5718,2127,74519000
9686,7139,78283000
9535,3530,71547000
3716,7233,77918000
1795,2547,99608000
7760,3007,79639000
9781,792,63151000
7813,482,66669000
5928,1293,95064000
4821,5976,95243000
606,7523,84559000
9874,5689,66565000
2604,8810,59982000
9106,1754,80040000
2877,629,87337000
8012,2605,89320000
4677,2063,80856000
1378,810,99241000
6551,7400,104575000
7233,6141,76629000
570,8059,74470000
4004,5450,78286000
9056,4303,103006000
5292,7299,56666000
721,9476,75373000
6690,8298,93365000
8143,187,82365000
9044,9787,57591000
3170,1069,72692000
8199,4928,62454000
274,1731,78572000
9627,9657,79064000
2577,1388,90701000
2564,9670,61175000
4506,7181,76325000
552,7026,90689000
1123,9640,81188000
4765,7073,62067000
9765,1444,72304000
2784,1223,73007000
7366,685,70433000
2254,3094,72357000
